	20-sep-2015	Sample_Alias	alias	collection_date	collection_date date	depth	description	ena checklist	environment (biome)	environment (feature)	environment (material)	environmental package	event date	event date/time	event date/time date	event label	event time	geographic location (country and/or sea)	insdc center alias	insdc center name	insdc status	last update date	last update date date	latitude	longitude	marine region	nitrate sensor	oxygen sensor	protocol label	salinity	sample collection device	sample site	sampling campaign	sampling platform	sampling site	sampling station	sequencing method	size fraction lower threshold	sra accession	temperature	title
151		SAMEA98140918	KD031_S8_80		2015-09-11	0.3	Arctic sea ice metagenome, 0.3 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-11	6270	15:37:46	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	11.43140765	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568969	-0.6	Arctic sea ice metagenome, 0.3 m
152		SAMEA98154418	KD013_S3_8		2015-09-07	1.5	Arctic seawater metagenome, 1.5 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-09-07	6239	18:02:01	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	89.99033333	-89.2525	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		33	Illumina MiSeq 2x250 PE	0.22 um	ERS1568987		Arctic seawater metagenome, 1.5 m
153		SAMEA98141668	KD032_S7_79		2015-09-11	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		2018-03-20		2015-09-11	6270	16:34:41	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	19.45657158	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568970	-1.0825	Arctic sea ice metagenome, 1.1 m
154		SAMEA98143168	KD033_S9_78		2015-09-11	1.5	Arctic sea ice metagenome, 1.5 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-11	6270	17:53:58	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	24.39584968	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568972	-1.3625	Arctic sea ice metagenome, 1.5 m
155		SAMEA98143918	KD034_S6_77		2015-09-11	0.1	Arctic sea ice metagenome, 0.1 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-11	6270	16:49:50	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	12.40544434	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568973	-0.655	Arctic sea ice metagenome, 0.1 m
156		SAMEA98144668	KD035_S5_76		2015-09-11	0.9	Arctic sea ice metagenome, 0.9 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-11	6270	16:32:17	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	16.23219365	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568974	-0.905	Arctic sea ice metagenome, 0.9 m
157		SAMEA98142418	KD033_S8_75		2015-09-11	1.5	Arctic sea ice metagenome, 1.5 m	ERC000011	marine biome	marine water body	sea ice		2018-03-21		2015-09-11	6270	15:23:17	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	87.77201667	-148.8943333	Arctic Ocean			NPL022	24.39584968	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		39	Illumina MiSeq 2x250 PE	0.22 um	ERS1568971	-1.3625	Arctic sea ice metagenome, 1.5 m
158		SAMEA98145418	KD038_S7_74		2015-09-14	1.3	Arctic sea ice metagenome, 1.3 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-14	6283	15:50:37	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022	26.21433718	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568975	-1.45	Arctic sea ice metagenome, 1.3 m
159		SAMEA98146168	KD039_S4_73		2015-09-14	0.7	Arctic sea ice metagenome, 0.7 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-14	6283	17:17:31	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022	19.92153771	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568976	-1.0675	Arctic sea ice metagenome, 0.7 m
160		SAMEA98146918	KD041_S6_71		2015-09-14	1.3	Arctic sea ice metagenome, 1.3 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-14	6283	16:59:48	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022	27.91620795	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568977	-1.5	Arctic sea ice metagenome, 1.3 m
161		SAMEA98147668	KD043_S3_69		2015-09-14	0.1	Arctic sea ice metagenome, 0.1 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-14	6283	17:27:20	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022	35.09179016	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568978	-1.96	Arctic sea ice metagenome, 0.1 m
162		SAMEA98148418	KD044_S5_68		2015-09-14	1.435	Arctic sea ice metagenome, 1.435 m	ERC000011	marine biome	marine water body	sea ice		2018-03-20		2015-09-14	6283	16:31:12	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022	31.33229147	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568979	-1.73	Arctic sea ice metagenome, 1.435 m
163		SAMEA98157418	KD053_S2_67		2015-09-16	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-09-16	6324	16:03:02	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.16033333	-149.9722667	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568991		Arctic seawater metagenome, 1 m
164		SAMEA98149168	KD054_S1_66		2015-09-16	0.9	Arctic sea ice metagenome, 0.9 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-16	6324	17:53:04	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.16033333	-149.9722667	Arctic Ocean			NPL022	32.17356772	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568980	-1.7425	Arctic sea ice metagenome, 0.9 m
165		SAMEA98149918	KD059_S4_61		2015-09-16	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		2018-03-20		2015-09-16	6324	16:29:58	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.16033333	-149.9722667	Arctic Ocean			NPL022	33.64074589	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568981	-1.93	Arctic sea ice metagenome, 1.1 m
166		SAMEA98150668	KD060B_S11_60B		2015-09-16	0.3	Arctic sea ice metagenome, 0.3 m	ERC000011	marine biome	marine water body	sea ice		2018-03-20		2015-09-16	6324	16:17:11	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.16033333	-149.9722667	Arctic Ocean			NPL022	47.87118489	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		43	Illumina MiSeq 2x250 PE	0.22 um	ERS1568982	-2.7225	Arctic sea ice metagenome, 0.3 m
167		SAMEA98137168	KD010_S2_6		2015-09-04	1.3	Arctic sea ice metagenome, 1.3 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-04	6210	18:02:35	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	88.4072	-176.7614333	Arctic Ocean			NPL022	28.28050089	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		31	Illumina MiSeq 2x250 PE	0.22 um	ERS1568964	-1.655	Arctic sea ice metagenome, 1.3 m
168		SAMEA98158168	KD099_S3_54		2015-09-26	55	Arctic seawater metagenome, 55 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-09-26	6388	16:01:23	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	78.1739	-147.8331	Arctic Ocean	3.49	308.8	NPL022	31.1098	Niskin bottle	11869	GEOTRACES ARCTIC 2015	CGC Healy		51	Illumina MiSeq 2x250 PE	0.22 um	ERS1568992	-0.3258	Arctic seawater metagenome, 55 m
169		SAMEA98152918	KD102_S2_52		2015-09-27	0.05	Arctic sea ice metagenome, 0.05 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-09-27	6405	15:34:17	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	77.4476	-147.8711	Arctic Ocean			NPL022		ice auger		GEOTRACES ARCTIC 2015	CGC Healy		52	Illumina MiSeq 2x250 PE	0.22 um	ERS1568985		Arctic sea ice metagenome, 0.05 m
170		SAMEA98158918	KD115_S2_49		2015-10-04	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	15:27:26	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	22-Feb-17		72.9989	-158.8455	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568993		Arctic seawater metagenome, 1 m
171		SAMEA98162668	KD120_S5_46		2015-10-04	57	Arctic seawater metagenome, 57 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	17:23:55	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	0.98	309.5	NPL022	31.1429	Niskin bottle	12220	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568998	1.7079	Arctic seawater metagenome, 57 m
172		SAMEA98161918	KD120_S12_46		2015-10-04	57	Arctic seawater metagenome, 57 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	16:00:33	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	0.98	309.5	NPL022	31.1429	Niskin bottle	12220	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568997	1.7079	Arctic seawater metagenome, 57 m
173		SAMEA98163418	KD121_S6_45		2015-10-04	25	Arctic seawater metagenome, 25 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	17:28:14	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	0.14	286.4	NPL022	29.397	Niskin bottle	12226	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568999	1.6423	Arctic seawater metagenome, 25 m
174		SAMEA98164168	KD122_S11_44		2015-10-04	660	Arctic seawater metagenome, 660 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	15:49:41	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	12.74	245.2	NPL022	34.8519	Niskin bottle	12208	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569000	0.4047	Arctic seawater metagenome, 660 m
175		SAMEA98166418	KD127_S9_41	42282		29	Arctic seawater metagenome, 29 m	ERC000011	marine biome	marine water body	seawater		2017-02-23	42282		6467	07:44:11	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		72.7978	-159.6242	Arctic Ocean	17.53	181.8	NPL022	32.6327	Niskin bottle	12263	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569003	-1.6707	Arctic seawater metagenome, 29 m
176		SAMEA98167168	KD127_S10_41		2015-10-05	29	Arctic seawater metagenome, 29 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-05	6467	17:56:09	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7978	-159.6242	Arctic Ocean	17.53	181.8	NPL022	32.6327	Niskin bottle	12263	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569004	-1.6707	Arctic seawater metagenome, 29 m
177		SAMEA98167918	KD128_S10_40		2015-10-05	12	Arctic seawater metagenome, 12 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-05	6467	16:02:09	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7978	-159.6242	Arctic Ocean	0.38	267.2	NPL022	31.2395	Niskin bottle	12271	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569005	1.0376	Arctic seawater metagenome, 12 m
178		SAMEA98168668	KD128_S1_40		2015-10-05	12	Arctic seawater metagenome, 12 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-05	6467	17:21:57	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7978	-159.6242	Arctic Ocean	0.38	267.2	NPL022	31.2395	Niskin bottle	12271	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569006	1.0376	Arctic seawater metagenome, 12 m
179		SAMEA98136418	KD008_S1_4		2015-09-21	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		2017-11-06		2015-09-21	6210	14:49:22	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		88.4072	-176.7614333	Arctic Ocean			NPL022	21.91196841	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		31	Illumina MiSeq 2x250 PE	0.22 um	ERS1568963	-1.35	Arctic sea ice metagenome, 1.1 m
180		SAMEA98169418	KD129_S11_39		2015-09-07	20	Arctic seawater metagenome, 20 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-09-07	6467	17:34:27	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7978	-159.6242	Arctic Ocean	17.18	200.7	NPL022	32.6097	Niskin bottle	12267	GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569007	-1.6592	Arctic seawater metagenome, 20 m
181		SAMEA98170168	KD130_S9_36		2015-10-05	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-05	6469	15:51:51	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7999	-159.6157	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569008		Arctic seawater metagenome, 1 m
182		SAMEA98170918	KD130_S12_36		2015-10-05	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-05	6469	15:48:54	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.7999	-159.6157	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		61	Illumina MiSeq 2x250 PE	0.22 um	ERS1569009		Arctic seawater metagenome, 1 m
183		SAMEA98165668	KD124_S8_35	42281		240	Arctic seawater metagenome, 240 m	ERC000011	marine biome	marine water body	seawater		2017-02-23	42281		6458	07:44:11	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		72.9989	-158.8455	Arctic Ocean	13.05	231	NPL022	34.616	Niskin bottle	12214	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569002	0.1656	Arctic seawater metagenome, 240 m
184		SAMEA98164918	KD123_S7_34	42281		415	Arctic seawater metagenome, 415 m	ERC000011	marine biome	marine water body	seawater		2017-02-23	42281		6458	07:44:11	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		72.9989	-158.8455	Arctic Ocean	12.77	242.1	NPL022	34.8415	Niskin bottle	12210	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1569001	0.5718	Arctic seawater metagenome, 415 m
185		SAMEA98161168	KD119_S4_33	42281		860	Arctic seawater metagenome, 860 m	ERC000011	marine biome	marine water body	seawater		2017-02-23	42281		6458	07:44:11	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		72.9989	-158.8455	Arctic Ocean	12.71	246.5	NPL022	34.8545	Niskin bottle	12206	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568996	0.3785	Arctic seawater metagenome, 860 m
186		SAMEA98160418	KD118_S8_32		2015-10-04	137	Arctic seawater metagenome, 137 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-10-04	6458	17:54:50	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	14.85	219.2	NPL022	33.0812	Niskin bottle	12216	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568995	-1.3531	Arctic seawater metagenome, 137 m
187		SAMEA98159668	KD118_S3_32		2015-10-04	137	Arctic seawater metagenome, 137 m	ERC000011	marine biome	marine water body	seawater		2018-03-20		2015-10-04	6458	16:13:58	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	72.9989	-158.8455	Arctic Ocean	14.85	219.2	NPL022	33.0812	Niskin bottle	12216	GEOTRACES ARCTIC 2015	CGC Healy		60	Illumina MiSeq 2x250 PE	0.22 um	ERS1568994	-1.3531	Arctic seawater metagenome, 137 m
188		SAMEA98153668	KD150_S12_31		2015-10-07	1.1	Arctic sea ice metagenome, 1.1 m	ERC000011	marine biome	marine water body	sea ice		2018-03-22		2015-10-07	6483	16:54:18	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	71.9966	-162.496	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		33	Illumina MiSeq 2x250 PE	0.22 um	ERS1568986		Arctic sea ice metagenome, 1.1 m
189		SAMEA98152168	KD092_S7_23	42267		0.1	Arctic sea ice metagenome, 0.1 m	ERC000011	marine biome	marine water body	sea ice		2017-02-23	42267		6348	07:44:10	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public	42788		82.50385	-149.7905	Arctic Ocean			NPL022	27.13961801	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		46	Illumina MiSeq 2x250 PE	0.22 um	ERS1568984	-1.3775	Arctic sea ice metagenome, 0.1 m
190	42267	SAMEA98151418	KD087_S6_18			0.9	Arctic sea ice metagenome, 0.9 m	ERC000011	marine biome	marine water body	sea ice		2018-03-20		2015-09-20	6348	16:14:42	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	82.50385	-149.7905	Arctic Ocean			NPL022	23.83886978	ice auger		GEOTRACES ARCTIC 2015	CGC Healy		46	Illumina MiSeq 2x250 PE	0.22 um	ERS1568983	-1.29	Arctic sea ice metagenome, 0.9 m
191		SAMEA98156668	KD036_S5_17		2015-09-14	1	Arctic seawater metagenome, 1 m	ERC000011	marine biome	marine water body	seawater		2018-03-22		2015-09-14	6283	18:01:12	Arctic Ocean		UNIVERSITY OF ALASKA FAIRBANKS	public		2017-02-22	85.723	-150.6090833	Arctic Ocean			NPL022		Niskin bottle		GEOTRACES ARCTIC 2015	CGC Healy		42	Illumina MiSeq 2x250 PE	0.22 um	ERS1568990		Arctic seawater metagenome, 1 m
192		SAMEA4005048	KD130				Station 61	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176158		seawater 1m
193		SAMEA4005047	KD129				Station 61	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176157		seawater 20m
194		SAMEA4005046	KD128				Station 61	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176156		seawater 12m
195		SAMEA4005045	KD127				Station 61	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176155		seawater 29m
196		SAMEA4005044	KD124				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176154		seawater 240m
197		SAMEA4005043	KD123				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176153		seawater 415m
198		SAMEA4005042	KD121				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176152		seawater 25m
199		SAMEA4005041	KD120				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176151		seawater 57m
200		SAMEA4005040	KD119				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176150		seawater 860m
201		SAMEA4005039	KD118				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176149		seawater 137m
202		SAMEA4005038	KD115				Station 60	ERC000011					2016-06-01				21:30:13			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176148		seawater 1m
203		SAMEA4005037	KD014				Station 33	ERC000011					2016-06-01				21:30:12			UNIVERSITY OF ALASKA FAIRBANKS	public																		ERS1176147		seawater 5m
